,open,high,low,close,adjclose,volume,ticker
2020-12-28,371.739990234375,372.5899963378906,371.07000732421875,372.1700134277344,363.0706787109375,39000400,SPY
2020-12-29,373.80999755859375,374.0,370.8299865722656,371.4599914550781,362.37799072265625,53680500,SPY
2020-12-30,372.3399963378906,373.1000061035156,371.57000732421875,371.989990234375,362.89501953125,49455300,SPY
2020-12-31,371.7799987792969,374.6600036621094,371.2300109863281,373.8800048828125,364.73883056640625,78520700,SPY
2021-01-04,375.30999755859375,375.45001220703125,364.82000732421875,368.7900085449219,359.7732849121094,110210800,SPY
2021-01-05,368.1000061035156,372.5,368.04998779296875,371.3299865722656,362.2511901855469,66426200,SPY
2021-01-06,369.7099914550781,376.9800109863281,369.1199951171875,373.54998779296875,364.4168395996094,107997700,SPY
2021-01-07,376.1000061035156,379.8999938964844,375.9100036621094,379.1000061035156,369.8311767578125,68766800,SPY
2021-01-08,380.5899963378906,381.489990234375,377.1000061035156,381.260009765625,371.9383850097656,71677200,SPY
2021-01-11,377.8500061035156,380.5799865722656,377.7200012207031,378.69000244140625,369.43121337890625,51034700,SPY
2021-01-12,378.8900146484375,379.8599853515625,376.3599853515625,378.7699890136719,369.5092468261719,52547700,SPY
2021-01-13,378.69000244140625,380.8599853515625,377.8500061035156,379.7900085449219,370.5043640136719,45303600,SPY
2021-01-14,380.5899963378906,381.1300048828125,378.1000061035156,378.4599914550781,369.2068176269531,49989100,SPY
2021-01-15,376.7200012207031,377.5799865722656,373.70001220703125,375.70001220703125,366.5142822265625,107160000,SPY
2021-01-19,378.3399963378906,379.2300109863281,376.75,378.6499938964844,369.39215087890625,51233300,SPY
2021-01-20,381.1099853515625,384.7900085449219,380.69000244140625,383.8900146484375,374.50408935546875,61836100,SPY
2021-01-21,384.489990234375,384.95001220703125,383.25,384.239990234375,374.84552001953125,47840100,SPY
2021-01-22,382.25,384.1300048828125,381.8399963378906,382.8800048828125,373.5187683105469,52860500,SPY
2021-01-25,383.6700134277344,384.7699890136719,378.4599914550781,384.3900146484375,374.9918518066406,70402000,SPY
2021-01-26,385.4100036621094,385.8500061035156,383.5400085449219,383.7900085449219,374.4065246582031,42665300,SPY
2021-01-27,380.2200012207031,380.32000732421875,372.010009765625,374.4100036621094,365.2558898925781,123351100,SPY
2021-01-28,376.3599853515625,381.92999267578125,375.8900146484375,377.6300048828125,368.3971252441406,94198100,SPY
2021-01-29,375.6300048828125,376.6700134277344,368.2699890136719,370.07000732421875,361.02197265625,126765100,SPY
2021-02-01,373.7200012207031,377.3399963378906,370.3800048828125,376.2300109863281,367.0313415527344,75817600,SPY
2021-02-02,379.6499938964844,383.2200012207031,376.32000732421875,381.54998779296875,372.22125244140625,64450700,SPY
2021-02-03,382.44000244140625,383.70001220703125,380.4800109863281,381.8500061035156,372.513916015625,52427100,SPY
2021-02-04,382.9599914550781,386.239990234375,381.9700012207031,386.19000244140625,376.74786376953125,47142600,SPY
2021-02-05,388.20001220703125,388.4700012207031,386.1400146484375,387.7099914550781,378.23065185546875,48669800,SPY
2021-02-08,389.2699890136719,390.55999755859375,388.3500061035156,390.510009765625,380.96221923828125,38365200,SPY
2021-02-09,389.6099853515625,390.8900146484375,389.1700134277344,390.25,380.70855712890625,35551100,SPY
2021-02-10,392.1199951171875,392.2799987792969,387.5,390.0799865722656,380.5426940917969,59154400,SPY
2021-02-11,391.239990234375,391.69000244140625,388.1000061035156,390.7099914550781,381.1573486328125,42913300,SPY
